CASENO,OFFENSE,EVENTDT,EVENTTM,CVLEGEND,CVDOW,Block_Location,BLKADDR,Lat,Lon
19048113,THEFT FELONY (OVER $950),08/19/2019 12:00:00 AM,18:10,LARCENY,1,"2000 KITTREDGE ST
Berkeley, CA
(37.868204, -122.270054)",2000 KITTREDGE ST,37.868204,-122.270054
19091711,VANDALISM,08/19/2019 12:00:00 AM,22:00,VANDALISM,1,"CALIFORNIA STREET & FAIRVIEW ST
Berkeley, CA",CALIFORNIA STREET & FAIRVIEW ST,,
19036475,ASSAULT/BATTERY MISD.,07/05/2019 12:00:00 AM,11:31,ASSAULT,5,"1201 SECOND ST
Berkeley, CA
(37.879773, -122.30623)",1201 SECOND ST,37.879773,-122.30623
19040931,BURGLARY AUTO,07/27/2019 12:00:00 AM,00:26,BURGLARY - VEHICLE,6,"2500 DURANT AV
Berkeley, CA
(37.867852, -122.258699)",2500 DURANT AV,37.867852,-122.258699
19046622,DISTURBANCE,08/21/2019 12:00:00 AM,21:04,DISORDERLY CONDUCT,3,"1100 EASTSHORE HW
Berkeley, CA
(37.885683, -122.308114)",1100 EASTSHORE HW,37.885683,-122.308114
19044895,MUNICIPAL CODE,08/14/2019 12:00:00 AM,06:00,ALL OTHER OFFENSES,3,"1800 SOLANO AV
Berkeley, CA
(37.891332, -122.279975)",1800 SOLANO AV,37.891332,-122.279975
19091605,IDENTITY THEFT,08/08/2019 12:00:00 AM,10:10,FRAUD,4,"1200 MONTEREY AVE
Berkeley, CA
(37.882561, -122.28212)",1200 MONTEREY AVE,37.882561,-122.28212
19037161,BURGLARY RESIDENTIAL,07/02/2019 12:00:00 AM,00:00,BURGLARY - RESIDENTIAL,2,"2500 PARKER ST
Berkeley, CA
(37.863369, -122.257622)",2500 PARKER ST,37.863369,-122.257622
19046274,THEFT FELONY (OVER $950),08/13/2019 12:00:00 AM,17:00,LARCENY,2,"2600 VIRGINIA ST
Berkeley, CA
(37.878056, -122.258553)",2600 VIRGINIA ST,37.878056,-122.258553
19040607,ASSAULT/BATTERY MISD.,07/25/2019 12:00:00 AM,13:00,ASSAULT,4,"1300 OXFORD ST
Berkeley, CA
(37.883684, -122.267485)",1300 OXFORD ST,37.883684,-122.267485
19047849,BURGLARY AUTO,08/26/2019 12:00:00 AM,19:00,BURGLARY - VEHICLE,1,"2000 8TH ST
Berkeley, CA
(37.868366, -122.295508)",2000 8TH ST,37.868366,-122.295508
19091395,BURGLARY AUTO,07/14/2019 12:00:00 AM,21:00,BURGLARY - VEHICLE,0,"2200 FULTON ST
Berkeley, CA
(37.868706, -122.266279)",2200 FULTON ST,37.868706,-122.266279
19047591,VEHICLE STOLEN,08/26/2019 12:00:00 AM,00:30,MOTOR VEHICLE THEFT,1,"262 HILLCREST
Berkeley, CA
(37.85236, -122.241635)",262 HILLCREST,37.85236,-122.241635
19043602,DISTURBANCE,08/07/2019 12:00:00 AM,22:30,DISORDERLY CONDUCT,3,"2200 PRINCE ST
Berkeley, CA
(37.853386, -122.263973)",2200 PRINCE ST,37.853386,-122.263973
19044016,GUN/WEAPON,08/10/2019 12:00:00 AM,00:33,WEAPONS OFFENSE,6,"DWIGHT WY & TELEGRAPH AV
Berkeley, CA
(37.865121, -122.258455)",DWIGHT WY & TELEGRAPH AV,37.865121,-122.258455
19091338,BURGLARY AUTO,07/08/2019 12:00:00 AM,08:00,BURGLARY - VEHICLE,1,"2000 CHANNING WY
Berkeley, CA
(37.865501, -122.269774)",2000 CHANNING WY,37.865501,-122.269774
19041524,BURGLARY AUTO,07/29/2019 12:00:00 AM,08:00,BURGLARY - VEHICLE,1,"1900 ADDISON ST
Berkeley, CA
(37.870639, -122.272468)",1900 ADDISON ST,37.870639,-122.272468
19053844,FRAUD/FORGERY,07/08/2019 12:00:00 AM,12:00,FRAUD,1,"1000 PARDEE ST
Berkeley, CA
(37.856698, -122.290343)",1000 PARDEE ST,37.856698,-122.290343
19091456,THEFT MISD. (UNDER $950),07/22/2019 12:00:00 AM,17:59,LARCENY,1,"2100 UNIVERSITY AV
Berkeley, CA
(37.872175, -122.267835)",2100 UNIVERSITY AV,37.872175,-122.267835
19042506,ROBBERY,08/03/2019 12:00:00 AM,00:00,ROBBERY,6,"TELEGRAPH AV & PARKER ST
Berkeley, CA
(37.863272, -122.258656)",TELEGRAPH AV & PARKER ST,37.863272,-122.258656
19040856,THEFT MISD. (UNDER $950),07/25/2019 12:00:00 AM,13:00,LARCENY,4,"SHATTUCK AV & CENTER ST
Berkeley, CA
(37.870308, -122.26805)",SHATTUCK AV & CENTER ST,37.870308,-122.26805
19044228,ASSAULT/BATTERY MISD.,08/10/2019 12:00:00 AM,22:51,ASSAULT,6,"UNIVERSITY AVENUE &FRONTAGE
Berkeley, CA",UNIVERSITY AVENUE &FRONTAGE,,
19040558,THEFT MISD. (UNDER $950),07/25/2019 12:00:00 AM,08:14,LARCENY,4,"2000 OREGON ST
Berkeley, CA
(37.857377, -122.268709)",2000 OREGON ST,37.857377,-122.26870900000002
19045180,ASSAULT/BATTERY FEL.,08/15/2019 12:00:00 AM,11:07,ASSAULT,4,"2400 TELEGRAPH AV
Berkeley, CA
(37.866761, -122.258779)",2400 TELEGRAPH AV,37.866761,-122.258779
19035759,THEFT FELONY (OVER $950),07/01/2019 12:00:00 AM,10:48,LARCENY,1,"1500 SHATTUCK AV
Berkeley, CA
(37.880227, -122.26936)",1500 SHATTUCK AV,37.88022700000001,-122.26936
19046954,THEFT FELONY (OVER $950),07/17/2019 12:00:00 AM,08:00,LARCENY,3,"1700 SHATTUCK AVE
Berkeley, CA
(37.876307, -122.268923)",1700 SHATTUCK AVE,37.876307,-122.268923
19055696,FRAUD/FORGERY,08/30/2019 12:00:00 AM,12:00,FRAUD,5,"1700 OXFORD ST
Berkeley, CA
(37.876881, -122.266666)",1700 OXFORD ST,37.876881,-122.266666
19048329,DOMESTIC VIOLENCE,08/29/2019 12:00:00 AM,08:28,FAMILY OFFENSE,4,"1300 HOPKINS ST
Berkeley, CA
(37.878239, -122.288374)",1300 HOPKINS ST,37.878239,-122.288374
19048470,SEXUAL ASSAULT FEL.,08/22/2019 12:00:00 AM,22:00,SEX CRIME,4,"2500 COLLEGE AV
Berkeley, CA
(37.865711, -122.25389)",2500 COLLEGE AV,37.865711,-122.25388999999998
19042544,DISTURBANCE,08/03/2019 12:00:00 AM,12:40,DISORDERLY CONDUCT,6,"2500 DURANT AV
Berkeley, CA
(37.867852, -122.258699)",2500 DURANT AV,37.867852,-122.258699
19041650,BURGLARY AUTO,07/30/2019 12:00:00 AM,11:20,BURGLARY - VEHICLE,2,"1200 5TH ST
Berkeley, CA
(37.880756, -122.303056)",1200 5TH ST,37.880756,-122.303056
19043472,THEFT FROM AUTO,08/05/2019 12:00:00 AM,18:00,LARCENY - FROM VEHICLE,1,"2000 STUART ST
Berkeley, CA
(37.858214, -122.269252)",2000 STUART ST,37.858214,-122.269252
19091656,IDENTITY THEFT,07/05/2019 12:00:00 AM,16:15,FRAUD,5,"2900 MARTIN LUTHER KING JR WY
Berkeley, CA
(37.855998, -122.271278)",2900 MARTIN LUTHER KING JR WY,37.855998,-122.271278
19037785,BURGLARY RESIDENTIAL,07/10/2019 12:00:00 AM,21:27,BURGLARY - RESIDENTIAL,3,"1700 HIGHLAND PL
Berkeley, CA
(37.877482, -122.256109)",1700 HIGHLAND PL,37.877482,-122.256109
19091795,BURGLARY AUTO,08/29/2019 12:00:00 AM,19:55,BURGLARY - VEHICLE,4,"2100 ROSE ST
Berkeley, CA
(37.882064, -122.269357)",2100 ROSE ST,37.882064,-122.269357
19038605,BURGLARY AUTO,07/16/2019 12:00:00 AM,03:45,BURGLARY - VEHICLE,2,"1100 VIRGINIA ST
Berkeley, CA
(37.873455, -122.293465)",1100 VIRGINIA ST,37.873455,-122.293465
19047618,THEFT FROM AUTO,08/26/2019 12:00:00 AM,00:01,LARCENY - FROM VEHICLE,1,"2300 PIEDMONT AV
Berkeley, CA
(37.869839, -122.252365)",2300 PIEDMONT AV,37.869839,-122.252365
19041281,DISTURBANCE,07/28/2019 12:00:00 AM,21:28,DISORDERLY CONDUCT,0,"2500 FULTON ST
Berkeley, CA
(37.864238, -122.265263)",2500 FULTON ST,37.864238,-122.265263
19091580,BURGLARY AUTO,08/04/2019 12:00:00 AM,02:45,BURGLARY - VEHICLE,0,"1300 JOSEPHINE ST
Berkeley, CA
(37.883103, -122.275404)",1300 JOSEPHINE ST,37.88310300000001,-122.275404
19091750,BURGLARY AUTO,08/21/2019 12:00:00 AM,15:45,BURGLARY - VEHICLE,3,"1300 SAN PABLO AV
Berkeley, CA
(37.880228, -122.295798)",1300 SAN PABLO AV,37.880228,-122.295798
19037756,DISTURBANCE,07/11/2019 12:00:00 AM,20:10,DISORDERLY CONDUCT,4,"2200 SHATTUCK AV
Berkeley, CA
(37.869363, -122.268028)",2200 SHATTUCK AV,37.869363,-122.268028
19091384,VANDALISM,07/12/2019 12:00:00 AM,16:00,VANDALISM,5,"2400 BONAR ST
Berkeley, CA
(37.863241, -122.286176)",2400 BONAR ST,37.863241,-122.286176
19091768,BURGLARY AUTO,08/26/2019 12:00:00 AM,19:45,BURGLARY - VEHICLE,1,"1900 SAN PABLO AV
Berkeley, CA
(37.870205, -122.292581)",1900 SAN PABLO AV,37.870205,-122.292581
19048947,ARSON,08/31/2019 12:00:00 AM,21:00,ARSON,6,"CALIFORNIA STREET & 63RD ST
Berkeley, CA
(37.847262, -122.275622)",CALIFORNIA STREET & 63RD ST,37.847262,-122.275622
19091759,BURGLARY AUTO,08/19/2019 12:00:00 AM,16:55,BURGLARY - VEHICLE,1,"1400 SHATTUCK PL
Berkeley, CA
(37.88192, -122.270485)",1400 SHATTUCK PL,37.88192,-122.270485
19039175,THEFT MISD. (UNDER $950),07/18/2019 12:00:00 AM,13:55,LARCENY,4,"2300 TELEGRAPH AV
Berkeley, CA
(37.868714, -122.259189)",2300 TELEGRAPH AV,37.868714,-122.259189
19091535,BURGLARY AUTO,07/31/2019 12:00:00 AM,18:10,BURGLARY - VEHICLE,3,"1400 UNIVERSITY AV
Berkeley, CA
(37.870054, -122.284263)",1400 UNIVERSITY AV,37.870054,-122.284263
19045169,THEFT MISD. (UNDER $950),08/14/2019 12:00:00 AM,10:51,LARCENY,3,"1100 MILLER AV
Berkeley, CA
(37.892004, -122.256774)",1100 MILLER AV,37.892004,-122.256774
19044922,DISTURBANCE,08/14/2019 12:00:00 AM,09:00,DISORDERLY CONDUCT,3,"1300 GILMAN ST
Berkeley, CA
(37.881366, -122.289688)",1300 GILMAN ST,37.881366,-122.28968799999998
19091620,BURGLARY AUTO,08/10/2019 12:00:00 AM,21:20,BURGLARY - VEHICLE,6,"CHANNING WY & COLLEGE AV
Berkeley, CA
(37.867482, -122.254253)",CHANNING WY & COLLEGE AV,37.867482,-122.254253
19046115,BURGLARY RESIDENTIAL,08/19/2019 12:00:00 AM,15:55,BURGLARY - RESIDENTIAL,1,"2400 BONAR ST
Berkeley, CA
(37.863241, -122.286176)",2400 BONAR ST,37.863241,-122.286176
19048270,BURGLARY AUTO,08/28/2019 12:00:00 AM,20:00,BURGLARY - VEHICLE,3,"100 SEAWALL DR
Berkeley, CA
(37.863611, -122.317566)",100 SEAWALL DR,37.863611,-122.317566
19039732,BURGLARY RESIDENTIAL,07/21/2019 12:00:00 AM,04:10,BURGLARY - RESIDENTIAL,0,"600 EUCLID AV
Berkeley, CA
(37.901492, -122.267889)",600 EUCLID AV,37.901492,-122.267889
19091628,BURGLARY AUTO,08/11/2019 12:00:00 AM,06:00,BURGLARY - VEHICLE,0,"200 UNIVERSITY AV
Berkeley, CA
(37.865511, -122.309967)",200 UNIVERSITY AV,37.865511,-122.309967
19091747,BURGLARY AUTO,08/22/2019 12:00:00 AM,20:30,BURGLARY - VEHICLE,4,"2000 KITTREDGE ST
Berkeley, CA
(37.868204, -122.270054)",2000 KITTREDGE ST,37.868204,-122.270054
19091694,IDENTITY THEFT,08/15/2019 12:00:00 AM,11:00,FRAUD,4,"1500 CORNELL AVE
Berkeley, CA
(37.876268, -122.291682)",1500 CORNELL AVE,37.876268,-122.291682
19038897,DISTURBANCE,07/17/2019 12:00:00 AM,11:20,DISORDERLY CONDUCT,3,"DWIGHT WY & SHATTUCK AV
Berkeley, CA
(37.863977, -122.267307)",DWIGHT WY & SHATTUCK AV,37.863977,-122.267307
19037883,ASSAULT/BATTERY MISD.,07/12/2019 12:00:00 AM,13:28,ASSAULT,5,"3000 SAN PABLO AV
Berkeley, CA
(37.851919, -122.286667)",3000 SAN PABLO AV,37.851919,-122.286667
19091443,THEFT FELONY (OVER $950),07/20/2019 12:00:00 AM,00:00,LARCENY,6,"1700 7TH ST
Berkeley, CA
(37.872404, -122.297999)",1700 7TH ST,37.872404,-122.297999
19039551,BRANDISHING,07/19/2019 12:00:00 AM,16:30,WEAPONS OFFENSE,5,"KING STREET & TYLER ST
Berkeley, CA
(37.852998, -122.274145)",KING STREET & TYLER ST,37.852998,-122.274145
19040829,BURGLARY RESIDENTIAL,07/26/2019 12:00:00 AM,16:00,BURGLARY - RESIDENTIAL,5,"1500 BLAKE ST
Berkeley, CA
(37.86139, -122.280449)",1500 BLAKE ST,37.86139,-122.280449
19091350,VANDALISM,07/09/2019 12:00:00 AM,20:00,VANDALISM,2,"2100 MARTIN LUTHER KING JR WY
Berkeley, CA
(37.869688, -122.272805)",2100 MARTIN LUTHER KING JR WY,37.869688,-122.272805
19091634,BURGLARY AUTO,08/12/2019 12:00:00 AM,19:10,BURGLARY - VEHICLE,1,"1000 GILMAN ST
Berkeley, CA
(37.88014, -122.297498)",1000 GILMAN ST,37.88014,-122.297498
19044615,THEFT FROM AUTO,08/12/2019 12:00:00 AM,17:00,LARCENY - FROM VEHICLE,1,"100 SEAWALL DR
Berkeley, CA
(37.863611, -122.317566)",100 SEAWALL DR,37.863611,-122.317566
19091781,BURGLARY AUTO,08/27/2019 12:00:00 AM,18:00,BURGLARY - VEHICLE,2,"1100 DERBY ST
Berkeley, CA
(37.857651, -122.288388)",1100 DERBY ST,37.857651,-122.28838799999998
19091786,BURGLARY AUTO,08/28/2019 12:00:00 AM,21:25,BURGLARY - VEHICLE,3,"2000 KITTREDGE ST
Berkeley, CA
(37.868204, -122.270054)",2000 KITTREDGE ST,37.868204,-122.270054
19091483,BURGLARY AUTO,07/25/2019 12:00:00 AM,19:30,BURGLARY - VEHICLE,4,"1900 ALLSTON WY
Berkeley, CA
(37.868785, -122.272701)",1900 ALLSTON WY,37.868785,-122.272701
19091434,THEFT FROM AUTO,07/20/2019 12:00:00 AM,05:00,LARCENY - FROM VEHICLE,6,"1600 THOUSAND OAKS BL
Berkeley, CA
(37.896558, -122.285222)",1600 THOUSAND OAKS BL,37.896558,-122.285222
19091745,THEFT MISD. (UNDER $950),08/19/2019 12:00:00 AM,12:00,LARCENY,1,"DURANT AV & TELEGRAPH AV
Berkeley, CA
(37.867816, -122.258994)",DURANT AV & TELEGRAPH AV,37.867816,-122.258994
19091618,IDENTITY THEFT,07/23/2019 12:00:00 AM,14:55,FRAUD,2,"1200 NEILSON ST
Berkeley, CA
(37.882875, -122.288595)",1200 NEILSON ST,37.882875,-122.288595
19092831,IDENTITY THEFT,08/25/2019 12:00:00 AM,12:40,FRAUD,0,"1200 EVELYN AVE
Berkeley, CA
(37.883153, -122.292104)",1200 EVELYN AVE,37.883153,-122.292104
19038289,NARCOTICS,07/14/2019 12:00:00 AM,11:16,DRUG VIOLATION,0,"5TH STREET &DELAWARE ST
Berkeley, CA",5TH STREET &DELAWARE ST,,
19042023,THEFT FROM AUTO,07/31/2019 12:00:00 AM,17:45,LARCENY - FROM VEHICLE,3,"1100 DERBY ST
Berkeley, CA
(37.857651, -122.288388)",1100 DERBY ST,37.857651,-122.28838799999998
19038028,VEHICLE RECOVERED,07/13/2019 12:00:00 AM,01:53,RECOVERED VEHICLE,6,"GILMAN STREET & 2ND ST
Berkeley, CA
(37.878461, -122.305788)",GILMAN STREET & 2ND ST,37.878461,-122.305788
19091678,THEFT MISD. (UNDER $950),08/05/2019 12:00:00 AM,19:10,LARCENY,1,"1400 SPRUCE ST
Berkeley, CA
(37.88248, -122.266137)",1400 SPRUCE ST,37.88248,-122.266137
19042959,ROBBERY,08/05/2019 12:00:00 AM,14:08,ROBBERY,1,"2300 SHATTUCK AV
Berkeley, CA
(37.867157, -122.2678)",2300 SHATTUCK AV,37.867157,-122.2678
19041273,BURGLARY AUTO,07/28/2019 12:00:00 AM,20:10,BURGLARY - VEHICLE,0,"1900 STUART ST
Berkeley, CA
(37.857951, -122.271494)",1900 STUART ST,37.857951,-122.271494
19041756,BURGLARY COMMERCIAL,07/31/2019 12:00:00 AM,00:02,BURGLARY - COMMERCIAL,3,"1500 HOPKINS ST
Berkeley, CA
(37.881004, -122.283225)",1500 HOPKINS ST,37.881004,-122.283225
19091445,THEFT FELONY (OVER $950),07/20/2019 12:00:00 AM,03:45,LARCENY,6,"1900 HOPKINS ST
Berkeley, CA
(37.885541, -122.274771)",1900 HOPKINS ST,37.885541,-122.274771
19039846,BURGLARY RESIDENTIAL,07/21/2019 12:00:00 AM,22:00,BURGLARY - RESIDENTIAL,0,"1100 HOPKINS ST
Berkeley, CA
(37.875281, -122.293681)",1100 HOPKINS ST,37.875281,-122.293681
19048612,ASSAULT/BATTERY FEL.,08/30/2019 12:00:00 AM,13:08,ASSAULT,5,"2100 SAN PABLO AV
Berkeley, CA
(37.867501, -122.291709)",2100 SAN PABLO AV,37.867501,-122.291709
19091841,BURGLARY AUTO,08/31/2019 12:00:00 AM,20:50,BURGLARY - VEHICLE,6,"2240 OXFORD ST
Berkeley, CA
(37.86925, -122.266076)",2240 OXFORD ST,37.86925,-122.266076
19039244,DISTURBANCE,07/18/2019 12:00:00 AM,21:23,DISORDERLY CONDUCT,4,"HAROLD WY & ALLSTON WY
Berkeley, CA
(37.8692, -122.269308)",HAROLD WY & ALLSTON WY,37.8692,-122.269308
19038153,ASSAULT/BATTERY FEL.,07/13/2019 12:00:00 AM,17:51,ASSAULT,6,"DERBY STREET & HILLEGASS AV
Berkeley, CA
(37.861672, -122.255992)",DERBY STREET & HILLEGASS AV,37.861672,-122.255992
19037865,THEFT FROM AUTO,07/11/2019 12:00:00 AM,13:30,LARCENY - FROM VEHICLE,4,"2100 MILVIA ST
Berkeley, CA
(37.870603, -122.270612)",2100 MILVIA ST,37.870603,-122.270612
19044211,IDENTITY THEFT,08/10/2019 12:00:00 AM,21:36,FRAUD,6,"SHATTUCK AV & CARLETON ST
Berkeley, CA
(37.861265, -122.26698)",SHATTUCK AV & CARLETON ST,37.861265,-122.26698
19043751,NARCOTICS,08/08/2019 12:00:00 AM,18:54,DRUG VIOLATION,4,"TREMONT STREET & ESSEX ST
Berkeley, CA
(37.853552, -122.268286)",TREMONT STREET & ESSEX ST,37.853552,-122.268286
19042342,THEFT FELONY (OVER $950),08/02/2019 12:00:00 AM,13:57,LARCENY,5,"1400 VIRGINIA ST
Berkeley, CA
(37.874575, -122.284796)",1400 VIRGINIA ST,37.874575,-122.284796
19091487,THEFT MISD. (UNDER $950),07/25/2019 12:00:00 AM,18:00,LARCENY,4,"1900 SHATTUCK AV
Berkeley, CA
(37.873687, -122.268616)",1900 SHATTUCK AV,37.873687,-122.268616
19048367,ROBBERY,08/29/2019 12:00:00 AM,11:50,ROBBERY,4,"1300 TENTH ST
Berkeley, CA
(37.879968, -122.296885)",1300 TENTH ST,37.879968,-122.296885
19091301,THEFT MISD. (UNDER $950),07/01/2019 12:00:00 AM,11:30,LARCENY,1,"1000 GILMAN ST
Berkeley, CA
(37.88014, -122.297498)",1000 GILMAN ST,37.88014,-122.297498
19045436,MISSING ADULT,07/29/2019 12:00:00 AM,07:00,MISSING PERSON,1,"SHATTUCK AV & EMERSON ST
Berkeley, CA
(37.854536, -122.266403)",SHATTUCK AV & EMERSON ST,37.854536,-122.266403
19091700,IDENTITY THEFT,08/18/2019 12:00:00 AM,09:30,FRAUD,0,"2000 ASHBY AV
Berkeley, CA
(37.85491, -122.268666)",2000 ASHBY AV,37.85491,-122.268666
19040836,BURGLARY RESIDENTIAL,07/18/2019 12:00:00 AM,15:00,BURGLARY - RESIDENTIAL,4,"1900 MCGEE AV
Berkeley, CA
(37.87241, -122.277692)",1900 MCGEE AV,37.87241,-122.277692
19041219,THEFT FROM AUTO,07/27/2019 12:00:00 AM,17:00,LARCENY - FROM VEHICLE,6,"1500 SIXTH ST
Berkeley, CA
(37.875076, -122.299959)",1500 SIXTH ST,37.875076,-122.29995900000002
19091624,BURGLARY AUTO,08/10/2019 12:00:00 AM,12:00,BURGLARY - VEHICLE,6,"200 UNIVERSITY AV
Berkeley, CA
(37.865511, -122.309967)",200 UNIVERSITY AV,37.865511,-122.309967
19043780,DISTURBANCE,08/08/2019 12:00:00 AM,00:00,DISORDERLY CONDUCT,4,"2400 PIEDMONT AV
Berkeley, CA
(37.867513, -122.25195)",2400 PIEDMONT AV,37.867513,-122.25195
